河南城建学院,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV15,http://iptv.huuc.edu.cn/hls/cctv15hd.m3u8

CGTN高清,http://iptv.huuc.edu.cn/hls/cgtnhd.m3u8
北京文艺高清,http://iptv.huuc.edu.cn/hls/btv2hd.m3u8
北京影视高清,http://iptv.huuc.edu.cn/hls/btv4hd.m3u8
北京新闻高清,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
浙江卫视高清,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视高清,http://iptv.huuc.edu.cn/hls/jshd.m3u8
安徽卫视高清,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
山东卫视高清,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视高清,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
福建东南卫视高清,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
四川卫视高清,http://iptv.huuc.edu.cn/hls/schd.m3u8
青海卫视,http://iptv.huuc.edu.cn/hls/qhtv.m3u8
厦门卫视,http://iptv.huuc.edu.cn/hls/xmtv.m3u8
新疆卫视,http://iptv.huuc.edu.cn/hls/xjtv.m3u8
云南卫视,http://iptv.huuc.edu.cn/hls/yntv.m3u8
宁夏卫视,http://iptv.huuc.edu.cn/hls/nxtv.m3u8
延边卫视,http://iptv.huuc.edu.cn/hls/ybtv.m3u8
凤凰卫视资讯,http://iptv.huuc.edu.cn/hls/fhzx.m3u8
凤凰卫视电影,http://iptv.huuc.edu.cn/hls/fhdy.m3u8
国家地理,http://iptv.huuc.edu.cn/hls/natlgeo.m3u8
星空卫视,http://iptv.huuc.edu.cn/hls/startv.m3u8
Star Sports,http://iptv.huuc.edu.cn/hls/starsports.m3u8
CETV1,http://iptv.huuc.edu.cn/hls/cetv1.m3u8
山东教育,http://iptv.huuc.edu.cn/hls/sdetv.m3u8


河南有线导视,http://39.164.174.139:5000/nl.m3u8?id=HENYX-DSHD
河南都市,http://39.164.174.139:5000/nl.m3u8?id=HENDSHD
河南电视剧,http://39.164.174.139:5000/nl.m3u8?id=HENDSJHD

河南公共,http://39.164.174.139:5000/nl.m3u8?id=HENGGHD

河南新闻,http://39.164.174.139:5000/nl.m3u8?id=HNTV-XW

河南民生,http://39.164.174.139:5000/nl.m3u8?id=HNTV3-MS

