🌷丨 信阳豫港酒店,#genre#

CCTV-1综合,http://123.54.173.116:808/hls/1/index.m3u8
CCTV-2财经,http://123.54.173.116:808/hls/2/index.m3u8
CCTV-3综艺,http://123.54.173.116:808/hls/3/index.m3u8
CCTV-4中文国际,http://123.54.173.116:808/hls/4/index.m3u8
CCTV-5体育,http://123.54.173.116:808/hls/5/index.m3u8
CCTV-6电影,http://123.54.173.116:808/hls/6/index.m3u8
CCTV-7国防军事,http://123.54.173.116:808/hls/7/index.m3u8
CCTV-8电视剧,http://123.54.173.116:808/hls/8/index.m3u8
CCTV-9记录,http://123.54.173.116:808/hls/9/index.m3u8
CCTV-10科教,http://123.54.173.116:808/hls/10/index.m3u8
CCTV-11戏曲,http://123.54.173.116:808/hls/11/index.m3u8
CCTV-12社会与法,http://123.54.173.116:808/hls/12/index.m3u8
CCTV-13新闻,http://123.54.173.116:808/hls/13/index.m3u8
CCTV-14少儿 ,http://123.54.173.116:808/hls/14/index.m3u8
CCTV-15音乐,http://123.54.173.116:808/hls/15/index.m3u8
CNTV,http://123.54.173.116:808/hls/16/index.m3u8
CCTV-17农业农村,http://123.54.173.116:808/hls/17/index.m3u8
CCTV5+体育赛事,http://123.54.173.116:808/hls/18/index.m3u8
河南卫视,http://123.54.173.116:808/hls/31/index.m3u8
河南都市频道,http://123.54.173.116:808/hls/32/index.m3u8
河南民生频道,http://123.54.173.116:808/hls/33/index.m3u8
河南法制频道,http://123.54.173.116:808/hls/34/index.m3u8
河南电视剧频道,http://123.54.173.116:808/hls/35/index.m3u8
河南公共频道,http://123.54.173.116:808/hls/38/index.m3u8
河南新农村频道,http://123.54.173.116:808/hls/39/index.m3u8
河南国际频道,http://123.54.173.116:808/hls/40/index.m3u8
浙江卫视,http://123.54.173.116:808/hls/61/index.m3u8
东方卫视,http://123.54.173.116:808/hls/62/index.m3u8
江苏卫视,http://123.54.173.116:808/hls/63/index.m3u8
北京卫视,http://123.54.173.116:808/hls/64/index.m3u8
广东卫视,http://123.54.173.116:808/hls/65/index.m3u8
黑龙江卫视,http://123.54.173.116:808/hls/66/index.m3u8
山东卫视,http://123.54.173.116:808/hls/67/index.m3u8
安徽卫视,http://123.54.173.116:808/hls/68/index.m3u8
辽宁卫视,http://123.54.173.116:808/hls/69/index.m3u8
陕西卫视,http://123.54.173.116:808/hls/70/index.m3u8
贵州卫视,http://123.54.173.116:808/hls/71/index.m3u8
河北卫视,http://123.54.173.116:808/hls/72/index.m3u8
江西卫视,http://123.54.173.116:808/hls/73/index.m3u8
湖南卫视,http://123.54.173.116:808/hls/74/index.m3u8
深圳卫视,http://123.54.173.116:808/hls/75/index.m3u8
四川卫视,http://123.54.173.116:808/hls/76/index.m3u8
湖北卫视,http://123.54.173.116:808/hls/77/index.m3u8
天津卫视,http://123.54.173.116:808/hls/78/index.m3u8
云南卫视,http://123.54.173.116:808/hls/79/index.m3u8
重庆卫视,http://123.54.173.116:808/hls/80/index.m3u8
吉林卫视,http://123.54.173.116:808/hls/81/index.m3u8
宁夏卫视,http://123.54.173.116:808/hls/82/index.m3u8
东南卫视,http://123.54.173.116:808/hls/83/index.m3u8
内蒙古卫视,http://123.54.173.116:808/hls/84/index.m3u8
广西卫视,http://123.54.173.116:808/hls/85/index.m3u8
山西卫视,http://123.54.173.116:808/hls/86/index.m3u8
海南卫视,http://123.54.173.116:808/hls/88/index.m3u8
甘肃卫视,http://123.54.173.116:808/hls/89/index.m3u8
青海卫视,http://123.54.173.116:808/hls/90/index.m3u8
金鹰卡通,http://123.54.173.116:808/hls/91/index.m3u8
嘉佳卡通,http://123.54.173.116:808/hls/92/index.m3u8
卡酷动画,http://123.54.173.116:808/hls/93/index.m3u8
炫动卡通,http://123.54.173.116:808/hls/94/index.m3u8
信阳综合频道,http://123.54.173.116:808/hls/100/index.m3u8
信阳公共频道,http://123.54.173.116:808/hls/101/index.m3u8
浉河广电中心,http://123.54.173.116:808/hls/102/index.m3u8
平桥广电中心,http://123.54.173.116:808/hls/103/index.m3u8

🌷丨 黑龙江移动,#genre#

CCTV1综合,http://tv.2cf.x10.mx/2hl/3221226514/index.m3u8?ace
CCTV1综合,http://tv.2cf.x10.mx/2hl/3221226559/index.m3u8?ace
CCTV1综合,http://tv.2cf.x10.mx/2hl/3221226016/index.m3u8?ace
CCTV2财经,http://tv.2cf.x10.mx/2hl/3221226540/index.m3u8?ace
CCTV2财经,http://tv.2cf.x10.mx/2hl/3221225588/index.m3u8?ace
CCTV3综艺,http://tv.2cf.x10.mx/2hl/3221226021/index.m3u8?ace
CCTV4中文国际,http://tv.2cf.x10.mx/2hl/3221226428/index.m3u8?ace
CCTV4中文国际,http://tv.2cf.x10.mx/2hl/3221226007/index.m3u8?ace
CCTV5体育,http://tv.2cf.x10.mx/2hl/3221226019/index.m3u8?ace
CCTV5体育,http://tv.2cf.x10.mx/2hl/3221226469/index.m3u8?ace
CCTV5+体育赛事,http://tv.2cf.x10.mx/2hl/3221225603/index.m3u8?ace
CCTV6电影,http://tv.2cf.x10.mx/2hl/3221226010/index.m3u8?ace
CCTV7国防军事,http://tv.2cf.x10.mx/2hl/3221225733/index.m3u8?ace
CCTV8电视剧,http://tv.2cf.x10.mx/2hl/3221226008/index.m3u8?ace
CCTV9纪录,http://tv.2cf.x10.mx/2hl/3221225734/index.m3u8?ace
CCTV10科教,http://tv.2cf.x10.mx/2hl/3221226473/index.m3u8?ace
CCTV10科教,http://tv.2cf.x10.mx/2hl/3221225730/index.m3u8?ace
CCTV11戏曲,http://tv.2cf.x10.mx/2hl/3221226565/index.m3u8?ace
CCTV11戏曲,http://tv.2cf.x10.mx/2hl/3221225597/index.m3u8?ace
CCTV12社会与法,http://tv.2cf.x10.mx/2hl/3221226568/index.m3u8?ace
CCTV12社会与法,http://tv.2cf.x10.mx/2hl/3221225731/index.m3u8?ace
CCTV13新闻,http://tv.2cf.x10.mx/2hl/3221226571/index.m3u8?ace
CCTV13新闻,http://tv.2cf.x10.mx/2hl/3221226537/index.m3u8?ace
CCTV13新闻,http://tv.2cf.x10.mx/2hl/3221226011/index.m3u8?ace
CCTV14少儿,http://tv.2cf.x10.mx/2hl/3221226591/index.m3u8?ace
CCTV14少儿,http://tv.2cf.x10.mx/2hl/3221225732/index.m3u8?ace
CCTV15音乐,http://tv.2cf.x10.mx/2hl/3221226476/index.m3u8?ace
CCTV15音乐,http://tv.2cf.x10.mx/2hl/3221225601/index.m3u8?ace
CCTV16奥林匹克,http://tv.2cf.x10.mx/2hl/3221226100/index.m3u8?ace
CCTV17农业农村,http://tv.2cf.x10.mx/2hl/3221225765/index.m3u8?ace
CGTN-新闻,http://tv.2cf.x10.mx/2hl/3221225604/index.m3u8?ace
CGTN-纪录,http://tv.2cf.x10.mx/2hl/3221225602/index.m3u8?ace
CGTN-法语,http://tv.2cf.x10.mx/2hl/3221226520/index.m3u8?ace
CGTN-俄语,http://tv.2cf.x10.mx/2hl/3221226543/index.m3u8?ace
CGTN-西班牙语,http://tv.2cf.x10.mx/2hl/3221226431/index.m3u8?ace
CGTN-阿拉伯语,http://tv.2cf.x10.mx/2hl/3221226517/index.m3u8?ace
北京卫视,http://tv.2cf.x10.mx/2hl/3221225728/index.m3u8?ace
东方卫视,http://tv.2cf.x10.mx/2hl/3221226345/index.m3u8?ace
天津卫视,http://tv.2cf.x10.mx/2hl/3221226459/index.m3u8?ace
天津卫视,http://tv.2cf.x10.mx/2hl/3221225740/index.m3u8?ace
重庆卫视,http://tv.2cf.x10.mx/2hl/3221226409/index.m3u8?ace
黑龙江卫视,http://tv.2cf.x10.mx/2hl/3221226327/index.m3u8?ace
吉林卫视,http://tv.2cf.x10.mx/2hl/3221226397/index.m3u8?ace
延边卫视,http://tv.2cf.x10.mx/2hl/3221226516/index.m3u8?ace
辽宁卫视,http://tv.2cf.x10.mx/2hl/3221226546/index.m3u8?ace
内蒙古卫视,http://tv.2cf.x10.mx/2hl/3221226389/index.m3u8?ace
宁夏卫视,http://tv.2cf.x10.mx/2hl/3221226454/index.m3u8?ace
甘肃卫视,http://tv.2cf.x10.mx/2hl/3221226522/index.m3u8?ace
青海卫视,http://tv.2cf.x10.mx/2hl/3221226323/index.m3u8?ace
陕西卫视,http://tv.2cf.x10.mx/2hl/3221226457/index.m3u8?ace
河北卫视,http://tv.2cf.x10.mx/2hl/3221226406/index.m3u8?ace
山西卫视,http://tv.2cf.x10.mx/2hl/3221226392/index.m3u8?ace
山东卫视,http://tv.2cf.x10.mx/2hl/3221226456/index.m3u8?ace
安徽卫视,http://tv.2cf.x10.mx/2hl/3221226391/index.m3u8?ace
河南卫视,http://tv.2cf.x10.mx/2hl/3221226480/index.m3u8?ace
湖北卫视,http://tv.2cf.x10.mx/2hl/3221226477/index.m3u8?ace
湖南卫视,http://tv.2cf.x10.mx/2hl/3221226307/index.m3u8?ace
江西卫视,http://tv.2cf.x10.mx/2hl/3221226344/index.m3u8?ace
