🐼央视,#genre#

CCTV-1-高清,http://218.88.97.149:808/hls/1/index.m3u8
CCTV-2-高清,http://218.88.97.149:808/hls/2/index.m3u8
CCTV-3-高清,http://218.88.97.149:808/hls/3/index.m3u8
CCTV-5-高清,http://218.88.97.149:808/hls/4/index.m3u8
CCTV-6-高清,http://218.88.97.149:808/hls/5/index.m3u8
CCTV-7-高清,http://218.88.97.149:808/hls/6/index.m3u8
CCTV-8-高清,http://218.88.97.149:808/hls/7/index.m3u8
CCTV-9-高清,http://218.88.97.149:808/hls/8/index.m3u8
CCTV-10-高清,http://218.88.97.149:808/hls/9/index.m3u8
CCTV-12-高清,http://218.88.97.149:808/hls/10/index.m3u8
CCTV-少儿-高清,http://218.88.97.149:808/hls/11/index.m3u8
CCTV-5＋-高清,http://218.88.97.149:808/hls/12/index.m3u8

🐼卫视,#genre#

湖南卫视-高清,http://218.88.97.149:808/hls/13/index.m3u8
江苏卫视-高清,http://218.88.97.149:808/hls/14/index.m3u8
浙江卫视-高清,http://218.88.97.149:808/hls/15/index.m3u8
东方卫视-高清,http://218.88.97.149:808/hls/16/index.m3u8
北京卫视-高清,http://218.88.97.149:808/hls/17/index.m3u8
深圳卫视-高清,http://218.88.97.149:808/hls/18/index.m3u8
黑龙江卫视-高清,http://218.88.97.149:808/hls/19/index.m3u8
山东卫视-高清,http://218.88.97.149:808/hls/20/index.m3u8
金鹰卡通,http://218.88.97.149:808/hls/21/index.m3u8
四川卫视-高清,http://218.88.97.149:808/hls/22/index.m3u8
影视文艺-高清,http://218.88.97.149:808/hls/23/index.m3u8
天津卫视-高清,http://218.88.97.149:808/hls/24/index.m3u8
湖北卫视-高清,http://218.88.97.149:808/hls/25/index.m3u8
广东卫视-高清,http://218.88.97.149:808/hls/26/index.m3u8
峨眉电影HD,http://218.88.97.149:808/hls/29/index.m3u8
SCTV2-HD,http://218.88.97.149:808/hls/30/index.m3u8
SCTV3-HD,http://218.88.97.149:808/hls/31/index.m3u8
重庆卫视-高清,http://218.88.97.149:808/hls/32/index.m3u8
熊猫直播间,http://218.88.97.149:808/hls/33/index.m3u8
CCTV-新闻,http://218.88.97.149:808/hls/34/index.m3u8
CGTN,http://218.88.97.149:808/hls/37/index.m3u8
CDTV-1,http://218.88.97.149:808/hls/38/index.m3u8
CDTV-2,http://218.88.97.149:808/hls/39/index.m3u8
CDTV-3,http://218.88.97.149:808/hls/40/index.m3u8
