🌷丨 咪咕自抓取源,#genre#


UFC直播, http://flvctypull2mgsplive.miguvideo.com:80/mglive/pcstation48_54.flv?msisdn=3cb9e5e5bca9c1cd737ab1e81d09f02f&mdspid=&spid=800033&netType=4&sid=7510311409&pid=2028597139&timestamp=20250206152124&Channel_ID=0116_2600034000-99000-201600010010028&ProgramID=947965170&ParentNodeID=-99&assertID=7510311409&client_ip=2408:8220:931e:aab0:cb2a:db40:9feb:b35d&SecurityKey=20250206152124&promotionId=&mvid=7510155390&mcid=500020&mpid=120000534985&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1760692565&jmhm=3cb9e5e5bca9c1cd737ab1e81d09f02f&videocodec=h265&mgdbId=120000534985&bean=mgspad&tid=android&conFee=0&encrypt=f7daa74949723aeff9090f410353901b&sv=10004&ct=android&playUrlSsn=b0408df6e4a8e5b6bfd296e35d127a601738826484300&prlId=b0408df6e4a8e5b6bfd296e35d127a601738826484315&jid=b0408df6e4a8e5b6bfd296e35d127a601738826544594V&LegoPageID=null&is_advertise=0&sjid=subsession_1738826544607&pos=-1000


毒液-普通话, https://mgsp-tx.vod.miguvideo.com/depository_nas02/asset/zhengshi/5105/637/241/5105637241/media/5105637241_5304504396_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800302&netType=0&sid=5701044339&pid=2028600506&timestamp=20250206155013&Channel_ID=0131_201600010010028&ProgramID=946036002&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5701044339&client_ip=123.13.117.90&SecurityKey=20250206155013&promotionId=&mvid=5105637241&mcid=1000&mpid=130000183851&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=69ef0297e1049108ead82cc50af7ecce&sv=10000&ct=h5

抓娃娃, https://mgsp-tx.vod.miguvideo.com/depository_nas03/asset/zhengshi/5105/595/653/5105595653/media/5105595653_5284111294_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5700963131&pid=2028600738&timestamp=20250206155419&Channel_ID=0131_201600010010028&ProgramID=935578165&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700963131&client_ip=123.13.117.90&SecurityKey=20250206155419&promotionId=&mvid=5105595653&mcid=1000&mpid=130000184225&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=e22247350e42f908540dd8e2f6ff1567&sv=10000&ct=h5

笑傲江湖（普通话）, https://mgsp-tx.vod.miguvideo.com/depository_nas02/asset/zhengshi/5105/660/658/5105660658/media/5105660658_5303708413_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5701057449&pid=2028597139&timestamp=20250206155932&Channel_ID=0131_201600010010028&ProgramID=946456855&ParentNodeID=-99&assertID=5701057449&client_ip=123.13.117.90&SecurityKey=20250206155932&promotionId=&mvid=5105660658&mcid=1000&mpid=130000185708&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=f2f40cfe85e93201c4aeb1a6ad6c9a58&sv=10000&ct=h5
