
🐼央视,#genre#

CCTV1-综合,http://123.160.241.174:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://123.160.241.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://123.160.241.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://123.160.241.174:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://123.160.241.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://123.160.241.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://123.160.241.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://123.160.241.174:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://123.160.241.174:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://123.160.241.174:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://123.160.241.174:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://123.160.241.174:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://123.160.241.174:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0

🐼卫视,#genre#

江苏卫视,http://123.160.241.174:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://123.160.241.174:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://123.160.241.174:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://123.160.241.174:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://123.160.241.174:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://123.160.241.174:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://123.160.241.174:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
海峡卫视,http://123.160.241.174:9901/tsfile/live/0150_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://123.160.241.174:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://123.160.241.174:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://123.160.241.174:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://123.160.241.174:9901/tsfile/live/0119_2.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://123.160.241.174:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://123.160.241.174:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://123.160.241.174:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://123.160.241.174:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://123.160.241.174:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://123.160.241.174:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://123.160.241.174:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://123.160.241.174:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://123.160.241.174:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://123.160.241.174:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://123.160.241.174:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://123.160.241.174:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://123.160.241.174:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://123.160.241.174:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://123.160.241.174:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://123.160.241.174:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://123.160.241.174:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://123.160.241.174:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://123.160.241.174:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
