央视咪咕,#genre#
CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
cct4欧洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4o
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m


CCTV-01咪咕,http://goo.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://goo.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://goo.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://goo.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://goo.bkpcp.top/mg/cctv5
CCTV-06咪咕,http://goo.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://goo.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://goo.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://goo.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://goo.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://goo.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://goo.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://goo.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://goo.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://goo.bkpcp.top/mg/cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://goo.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://goo.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://goo.bkpcp.top/mg/cctv4m
CGT西语咪咕,http://goo.bkpcp.top/mg/cgtne
CGT阿语咪咕,http://goo.bkpcp.top/mg/cgtna
CGT法语咪咕,http://goo.bkpcp.top/mg/cgtnf


CCTV-01咪咕,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV-02咪咕,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV-03咪咕,http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095
CCTV-04咪咕,http://tv.20191209.xyz:37377/migu/631780421.m3u8?migutoken=40b6a739d50c9611ac1bd3d6237cc8012f7bd8bd06945da894d03e393a3af480e950d8dc5e1a28cc2b74626afd48a747c2298114358e3f95be67743f3627ea5c2b12422eb6f434b52d57ce8c
CCTV-05咪咕,http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0
CCTV-5+咪咕,http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8
CCTV-06咪咕,http://tv.20191209.xyz:37377/migu/624878396.m3u8?migutoken=14b6f481c50ac947cd74bf4b212c490bc99f4bebefd4ce18011c9eb269208a0ce9740af370135e855763df734bac8f57f36721ae54b6afc81829420e84f46c65a2de80938b057c6ec23459eb
